,Code,accountsPayable,cash,commonStock,deferredLongTermAssetCharges,goodWill,intangibleAssets,longTermDebt,longTermInvestments,minorityInterest,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,inventory,capitalSurplus,deferredLongTermLiab
2021-06-30 00:00:00,ARG,,179297000.0,2921659000.0,,,,,6389776000.0,,26710000.0,5644413000.0,,,44735000.0,916200000.0,264513000.0,1380000.0,2458241000.0,,10088000.0,6607251000.0,216095000.0,45890000.0,962838000.0,5644413000.0,264513000.0,,,
2020-12-31 00:00:00,AWC,,10400000.0,2706700000.0,,,,60000000.0,1784500000.0,,,1734600000.0,,1800000.0,1400000.0,700000.0,-1310000000.0,,338700000.0,,,1796700000.0,12200000.0,1400000.0,62100000.0,1734600000.0,-1310800000.0,,,
2021-03-31 00:00:00,ALQ,65900000.0,168600000.0,1304600000.0,30800000.0,1064100000.0,72400000.0,777200000.0,25200000.0,10800000.0,338100000.0,-67500000.0,63000000.0,5000000.0,208300000.0,93500000.0,-131100000.0,641100000.0,-104500000.0,5000000.0,,2476900000.0,611100000.0,378100000.0,1397100000.0,1069000000.0,-131100000.0,64400000.0,,
2020-06-30 00:00:00,CWN,190100000.0,286900000.0,-203300000.0,170700000.0,243200000.0,1159700000.0,1070300000.0,186000000.0,,111200000.0,3351400000.0,248800000.0,,291700000.0,619800000.0,3100000.0,4871200000.0,4954500000.0,3400000.0,,7165800000.0,456900000.0,669900000.0,2411500000.0,4754300000.0,3100000.0,17200000.0,,
2020-12-31 00:00:00,CIM,2953100000.0,3082500000.0,1458700000.0,757900000.0,827700000.0,84600000.0,2686600000.0,1435300000.0,-74300000.0,1930800000.0,54100000.0,932500000.0,,1784400000.0,238000000.0,-527900000.0,814200000.0,165700000.0,210000000.0,4500000.0,9297300000.0,5203000000.0,5235500000.0,8405200000.0,966400000.0,-658000000.0,185200000.0,,
2021-06-30 00:00:00,MFG,10327000.0,211577000.0,607849000.0,41110000.0,102840000.0,10222000.0,,689651000.0,,118389000.0,876372000.0,67562000.0,2467000.0,169123000.0,4473000.0,-102000.0,12116000.0,381687000.0,,,1216166000.0,333775000.0,209934000.0,226732000.0,989434000.0,-102000.0,,,
2020-06-30 00:00:00,LYC,13180000.0,101731000.0,1424847000.0,,,540000.0,164851000.0,,,5426000.0,517841000.0,74615000.0,,31979000.0,156061000.0,-33789000.0,681908000.0,-872677000.0,34148000.0,,936125000.0,179062000.0,95098000.0,417744000.0,518381000.0,-33789000.0,68132000.0,,
2021-06-30 00:00:00,PLS,14694000.0,99712000.0,821391000.0,,,,141208000.0,,,24156000.0,574245000.0,,135000.0,103938000.0,51902000.0,7246000.0,785681000.0,-254392000.0,,,949720000.0,164039000.0,169952000.0,375475000.0,574245000.0,7246000.0,38621000.0,,
2020-06-30 00:00:00,HVN,283838000.0,313195000.0,717925000.0,3227000.0,,63003000.0,195000000.0,22868000.0,30983000.0,511579000.0,3383339000.0,2645826000.0,20613000.0,166370000.0,328026000.0,216837000.0,1798574000.0,2511580000.0,187000.0,30237000.0,5828602000.0,1298331000.0,785444000.0,2351277000.0,3446342000.0,216837000.0,391984000.0,,
2017-12-31 00:00:00,ALX,,122690000.0,2180211000.0,,58726000.0,2189724000.0,1668352000.0,1483337000.0,,618000.0,-86375000.0,153440000.0,,63327000.0,50087000.0,3906000.0,728000.0,-22042000.0,1734638000.0,,4010127000.0,124172000.0,129613000.0,1848052000.0,2162075000.0,3906000.0,,,
2021-06-30 00:00:00,QUB,254100000.0,125800000.0,3096300000.0,,778500000.0,96500000.0,1531000000.0,578800000.0,-3000000.0,383000000.0,2486800000.0,332000000.0,1660300000.0,174800000.0,82500000.0,3300000.0,2236400000.0,269600000.0,900000.0,,6241100000.0,2218900000.0,626200000.0,2882300000.0,3361800000.0,-4100000.0,6500000.0,,
2021-08-31 00:00:00,BOQ,66477000000.0,2362000000.0,5213000000.0,50000000.0,720000000.0,460000000.0,17723000000.0,9720000000.0,,827000000.0,5017000000.0,75677000000.0,43000000.0,62000000.0,15000000.0,338000000.0,198000000.0,646000000.0,,244000000.0,91432000000.0,4657000000.0,67497000000.0,85235000000.0,6197000000.0,338000000.0,,,
2020-09-30 00:00:00,IPL,1049400000.0,554600000.0,3806200000.0,13500000.0,2638100000.0,381600000.0,1849100000.0,326300000.0,,373900000.0,2183600000.0,122300000.0,127000000.0,143100000.0,702900000.0,-221800000.0,4292800000.0,1618900000.0,21200000.0,,9291000000.0,1529900000.0,1329500000.0,4087700000.0,5203300000.0,-221800000.0,474400000.0,,
2020-09-30 00:00:00,ORI,739700000.0,920500000.0,2659100000.0,309000000.0,1154400000.0,589700000.0,2123600000.0,301600000.0,48800000.0,976800000.0,1393100000.0,430200000.0,156700000.0,551200000.0,743600000.0,-670300000.0,3316400000.0,1148400000.0,615000000.0,,8456300000.0,2664000000.0,2169400000.0,5270300000.0,3137200000.0,-670300000.0,610000000.0,,
2021-06-30 00:00:00,MEZ,,148000000.0,1600000000.0,35000000.0,5000000.0,79000000.0,1298000000.0,,,516000000.0,5140000000.0,257000000.0,253000000.0,700000000.0,2134000000.0,5177000000.0,8598000000.0,-1548000000.0,378000000.0,,9856000000.0,917000000.0,1110000000.0,4632000000.0,5224000000.0,5172000000.0,,,
2021-03-31 00:00:00,IFT,305800000.0,133800000.0,1049000000.0,,770700000.0,40600000.0,3062000000.0,2207800000.0,1445200000.0,108000000.0,1832700000.0,365600000.0,2329600000.0,1000000000.0,531700000.0,859500000.0,3354200000.0,735500000.0,345900000.0,,9537200000.0,2798300000.0,1672000000.0,5448000000.0,2644000000.0,859500000.0,1900000.0,,
2021-06-30 00:00:00,PME,872000.0,42039000.0,1962000.0,13600000.0,,20009000.0,,,,24409000.0,61674000.0,14985000.0,,13505000.0,24228000.0,13714000.0,3014000.0,66922000.0,,19777000.0,125574000.0,87566000.0,17619000.0,43891000.0,81683000.0,12799000.0,34000.0,,
2021-06-30 00:00:00,NXT,37304000.0,652334000.0,1759777000.0,,,20745000.0,783489000.0,,,49716000.0,1642689000.0,22699000.0,9773000.0,26143000.0,48579000.0,7693000.0,1883978000.0,-104036000.0,,,2644119000.0,716697000.0,77292000.0,980685000.0,1663434000.0,7693000.0,,,22699000.0
